1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
36,8
37,8
38,8
39,8
41,8
42,8
43,8
44,8
45,8
46,8
48,8
49,8
50,8
51,8
53,8
54,8
56,8
57,8
62,8
64,8
65,8
67,8
68,8
69,8
70,8
71,8
72,8
75,8
76,8
78,8
79,8
84,7
85,7
86,7
88,7
91,7
92,7
93,7
94,7
96,7
97,7
98,7
101,7
102,7
103,7
105,7
109,7
116,7
121,7
123,7
124,7
125,7
126,7
127,7
128,7
130,7
133,7
136,7
137,7
138,7
139,7
140,7
141,7
143,7
146,7
148,7
149,7
150,7
151,7
152,7
153,7
155,7
162,7
166,7
167,7
169,7
173,7
192,7
193,7
195,7
198,7
199,7
200,7
202,7
203,7
204,7
206,7
207,7
208,7
209,7
210,7
212,7
214,7
215,7
218,7
221,7
222,7
224,7
227,7
228,7
232,7
234,7
236,7
238,7
239,7
240,7
242,7
268,7
273,7
282,7
283,7
287,7
289,7
295,7
297,7
300,7
301,7
304,1
309,1
312,1
315,1
316,1
322,1
329,1
332,1
336,1
341,1
344,1
347,1
349,1
350,1
355,1
380,1
387,1
388,1
393,1
394,1
399,1
403,1
406,1
410,1
412,1
415,1
416,1
417,1
419,1
420,1
427,1
430,1
432,1
438,1
440,1
442,1
443,1
445,1
449,1
460,1
472,1
480,1
498,1
509,1
518,1
528,1
529,1
535,1
538,1
539,1
543,1
547,1
560,1
572,1
609,1
621,1
647,1
679,1
680,1
692,1
695,1
697,1
706,1
713,1
730,1
733,1
735,1
739,1
741,1
763,1
767,1
771,1
780,1
785,1
787,1
811,1
819,1
829,1
836,1
843,1
863,1
887,1
909,1
912,1
935,1
937,1
953,1
957,1
964,1
973,1
974,1
981,1
986,1
987,1
1007,1
1031,1
1036,1
1048,1
1130,1
1192,1
